영화 이름,개봉년도,관람객 평점,평론가 평점,네티즌 평점,평가한 네티즌 수
블러드 마스크,2000,nan,nan,0,0
미션,2000,nan,nan,7.94,16
크레이지 핸드,2000,nan,nan,7.19,133
코요테 어글리,2000,nan,nan,8.84,1230
바이센테니얼 맨,2000,nan,nan,9.31,2006
환타지아 2000,2000,nan,nan,9.3,79
대학로에서 매춘하다가 토막 살해 당한 여고생 아직 대학로에 있다,2000,nan,nan,5.02,59
라이드 위드 데블,2000,nan,nan,7.97,34
암전,2000,nan,nan,8.08,61
컷 런스 딥,2000,nan,nan,7.74,54
동감,2000,9.67,7,9.02,1286
크로우 - 구원의 손길,2000,nan,nan,5.43,21
102 달마시안,2000,nan,nan,7.51,51
비치,2000,nan,nan,7.94,557
버팔로 66,2000,nan,nan,8.67,380
고질라 24 - 고질라 2000 밀레니엄,2000,nan,nan,6.14,56
더 갱스터,2000,nan,nan,6.5,2
키핑 더 페이스,2000,nan,nan,7.83,109
TV 특종! 놀라운 세상,2000,nan,nan,7.5,2
파이어웍,2000,nan,nan,6,1
13번째 전사,2000,nan,nan,7.73,158
백치들,2000,8,nan,6.76,42
8과 1/2 우먼,2000,nan,nan,6.33,3
마이 러브 리키,2000,nan,nan,8.83,18
옥토퍼스,2000,nan,nan,7.18,17
패션 코브,2000,nan,nan,0,0
슬로우 페이드,2000,nan,nan,0,0
팬티 속의 개미,2000,nan,nan,7.33,43
말콤네 좀 말려줘,2000,nan,nan,10,4
아나키스트,2000,nan,nan,8.16,362
겜블,2000,nan,nan,8.11,127
정,2000,nan,nan,9.55,154
도브,2000,nan,nan,8.27,11
아메리칸 싸이코,2000,nan,nan,8.25,1398
노블리,2000,nan,nan,8.13,92
윙 커맨더,2000,nan,nan,4.21,19
6번째 날,2000,nan,nan,8.16,280
찍히면 죽는다,2000,nan,nan,4.11,245
오! 수정,2000,nan,nan,6.73,276
오네긴,2000,nan,nan,8.04,47
다운 투 유,2000,nan,nan,7.14,22
실제상황,2000,nan,nan,6.42,104
매기와 환상의 나라로,2000,nan,nan,0,0
첨언밀어,2000,nan,nan,9.71,7
태양은 가득히,2000,nan,nan,8.53,17
철도원,2000,9,nan,8.58,624
퍼펙트 스톰,2000,nan,nan,8.11,550
퀴어 애즈 포크,2000,nan,nan,9.67,201
배틀필드,2000,nan,nan,5.06,140
겟 카터,2000,nan,nan,6.58,45
이브의 모든 것,2000,nan,nan,9.03,36
컵,2000,nan,nan,6.7,23
진혼곡,2000,nan,nan,7,4
구멍,2000,nan,nan,7.5,12
깡패수업 3,2000,nan,nan,4.4,30
와호장룡,2000,nan,nan,8.53,767
링 - 라센,2000,nan,nan,4.55,74
플로리스,2000,nan,nan,8.65,57
아이즈 와이드 셧,2000,9,nan,7.96,531
명탐정 코난,2000,nan,nan,8.75,8
패밀리 맨,2000,nan,nan,9.25,2223
애스트로넛,2000,nan,nan,6.12,111
바보 같은 사랑,2000,nan,nan,9.79,19
스트라이커,2000,nan,nan,7.38,8
사무라이 픽션,2000,nan,nan,7.87,133
바람계곡의 나우시카,2000,8,nan,9.3,1724
성난 얼굴로 돌아보라,2000,nan,nan,9.54,24
슬리피 할로우,2000,nan,nan,8.18,660
택시 2,2000,nan,nan,7.26,113
레드 레터,2000,nan,nan,5.5,2
로드 트립,2000,nan,nan,7.36,94
포스트맨 블루스,2000,nan,nan,8.61,99
춤추는 무뚜,2000,nan,nan,9.15,60
포켓 몬스터 - 뮤츠의 역습,2000,nan,nan,8.86,193
그림 속 나의 마을,2000,nan,nan,6.5,8
타이탄 AE,2000,nan,nan,7.92,25
마이티 조 영,2000,nan,nan,8.45,40
01412 파사신검,2000,nan,nan,6.4,10
열정의 제국,2000,nan,nan,6.31,26
동경공략,2000,nan,nan,7.24,34
이노센스,2000,nan,nan,7,6
꼬마 돼지 베이브 2,2000,nan,nan,8.26,34
아티스트,2000,nan,nan,5.62,8
룰루,2000,nan,nan,6.4,30
챔피언의 아침,2000,nan,nan,5,7
리플리,2000,nan,nan,8.74,923
쿤둔,2000,nan,nan,8.87,78
다크 엔젤 - TV 시리즈,2000,nan,nan,9.29,48
에이리언 2020,2000,nan,nan,7.76,431
잔 다르크,2000,nan,nan,8.04,449
스터 오브 에코,2000,nan,nan,7.34,90
바스켓볼 다이어리,2000,nan,nan,8.83,301
쓰리 킹즈,2000,nan,nan,7.81,191
링 2,2000,nan,nan,5.85,85
브링 잇 온,2000,nan,nan,8.75,616
지금은 통화중,2000,nan,nan,7.02,44
허리케인 카터,2000,nan,nan,9.3,251
주노명 베이커리,2000,nan,5.75,8.15,46
줄리엣의 남자,2000,nan,nan,9.25,16
치킨 런,2000,nan,nan,8.7,336
춘향뎐,2000,nan,nan,6.92,232
삼나무에 내리는 눈,2000,nan,nan,7.6,40
스페이스 카우보이,2000,nan,nan,8.52,204
룰스 오브 인게이지먼트,2000,nan,nan,7.17,173
세크릿 에이전트 맨,2000,nan,nan,0,0
그린 마일,2000,nan,nan,9.21,2168
식스팩,2000,nan,nan,6.6,10
구멍,2000,nan,nan,6,28
미션 투 마스,2000,nan,nan,7.96,596
행복한 장의사,2000,nan,5.5,8.82,141
에어포스 21,2000,nan,nan,5.5,4
스티그마타,2000,nan,nan,8.03,65
평화의 시대,2000,nan,nan,4.87,380
엘도라도,2000,nan,nan,8.97,180
루나 파파,2000,nan,nan,8.8,49
집으로 가는 길,2000,nan,nan,9.24,431
디플로메틱 시즈,2000,nan,nan,7.5,2
키즈 리턴,2000,9.31,nan,8.94,373
무서운 영화,2000,nan,nan,7.62,375
패션 오브 마인드,2000,nan,nan,7.4,5
사이먼 세즈,2000,nan,nan,6.08,13
헌티드 힐,2000,nan,nan,7.17,361
화이트아웃,2000,nan,nan,4.9,42
25살의 키스,2000,nan,nan,7.8,285
딥 코아,2000,nan,nan,7,3
인 투 딥,2000,nan,nan,5.5,6
처음 만나는 자유,2000,nan,nan,8.87,371
물고기자리,2000,nan,nan,7.39,75
미션 임파서블 2,2000,nan,nan,5.5,1043
퍼플 스톰,2000,nan,nan,4.33,9
레드 플래닛,2000,nan,nan,7.11,224
반쪽이네,2000,nan,nan,9,3
썸머 오브 샘,2000,nan,nan,6.07,14
깡패 법칙,2000,nan,nan,5,5
애니 기븐 선데이,2000,nan,nan,8.43,265
아웃사이드 프로비던스,2000,nan,nan,6.6,5
하나의 선택,2000,nan,nan,7.55,11
화양연화,2000,9.17,nan,8.78,1917
도그마,2000,nan,nan,7.29,160
탱고,2000,nan,nan,8.2,10
곰돌이 푸 - 티거 무비,2000,nan,nan,9.45,42
무사 쥬베이,2000,nan,nan,8.69,248
결전,2000,nan,nan,6.76,62
박하사탕,2000,9.55,9,9.01,1948
킬리만자로,2000,nan,nan,8.01,204
희극지왕,2000,nan,nan,8.86,714
프레디타,2000,nan,nan,5.25,4
인터뷰,2000,nan,nan,6.35,86
터치 미,2000,nan,nan,0,0
태조 왕건,2000,nan,nan,9.31,114
사랑할 수록,2000,nan,nan,0,0
엔터 더 이글,2000,nan,nan,5.71,7
신혼여행,2000,nan,nan,5.28,57
U-571,2000,nan,nan,8.87,591
그린치,2000,nan,nan,7.93,193
심동,2000,nan,nan,8.92,73
트랙 시티,2000,nan,nan,8.33,6
에어 콘트롤,2000,nan,nan,7.71,24
멘,2000,nan,nan,9,3
사랑의 슬픔 애수,2000,nan,nan,7.33,43
반칙왕,2000,nan,nan,8.37,513
나쁜 친구들,2000,nan,nan,7.5,6
수퍼노바,2000,nan,nan,5.28,32
마이티,2000,nan,nan,9.25,101
공동경비구역 JSA,2000,9.82,9,9.29,2800
썸머 스노우,2000,nan,nan,9.76,136
아마존,2000,nan,nan,0,0
배니싱 트윈,2000,nan,nan,6.7,46
러브 오브 시베리아,2000,nan,nan,9.09,795
딜리버리,2000,nan,nan,0,0
24 아워 인 런던,2000,nan,nan,5.67,3
듀스 비갈로,2000,nan,nan,7.64,107
하얀마음 백구,2000,nan,nan,8.38,8
보일러 룸,2000,nan,nan,8.1,135
본 콜렉터,2000,nan,nan,7.96,352
순류역류,2000,nan,nan,8.49,69
필로우 북,2000,nan,nan,7.36,11
하피,2000,nan,nan,3.02,95
미 마이셀프 앤드 아이린,2000,nan,nan,7.99,516
캅 랜드,2000,nan,nan,7.43,51
샤프트,2000,nan,nan,6.85,97
죽거나 혹은 나쁘거나,2000,8.5,nan,8.06,445
고,2000,nan,nan,7.77,31
잉카,2000,nan,nan,5.5,2
플란다스의 개,2000,8.25,nan,8.22,535
사이더 하우스,2000,nan,nan,8.4,85
엑기,2000,nan,nan,9.12,17
단적비연수,2000,nan,nan,5.17,155
청춘,2000,nan,nan,6.67,252
더 셀,2000,nan,nan,8.1,620
신밧드 2000,2000,nan,nan,7.8,10
그림일기,2000,nan,nan,5.91,11
순애보,2000,nan,nan,7.65,66
히 갓 게임,2000,nan,nan,7.68,47
서브웨이,2000,nan,nan,7.61,38
데스티네이션,2000,nan,nan,8.28,913
방가방가 햄토리,2000,nan,nan,3,3
아름다운 사람들,2000,nan,nan,9.5,12
싸이렌,2000,nan,nan,6.05,86
저지먼트 데이,2000,nan,nan,6.67,3
내 어머니의 모든 것,2000,8,nan,8.63,204
더 파이팅,2000,nan,nan,9.5,200
페이싱,2000,nan,nan,7.5,4
디얼리 디보티드,2000,nan,nan,6.5,2
28일 동안,2000,nan,nan,7.66,76
나인스 게이트,2000,nan,nan,6.89,224
스튜어트 리틀,2000,nan,6,8.28,194
이프,2000,nan,nan,3.32,22
비밀,2000,nan,nan,0,0
공포 특공대,2000,nan,nan,9.1,30
써스펙트,2000,nan,nan,6,3
으랏차차 스모부,2000,nan,nan,7.28,87
왓 라이즈 비니스,2000,nan,nan,7.14,223
흑우,2000,nan,nan,6.31,13
인사이더,2000,nan,nan,8.47,303
섬,2000,nan,nan,5.78,515
웬만해선 그들을 막을 수 없다,2000,nan,nan,9.42,113
젠 엑스 캅,2000,nan,nan,7.55,20
하피스트,2000,nan,nan,0,0
헬프리스,2000,nan,nan,7.67,12
두 낫 디스터브,2000,nan,nan,7,6
포트리스 2,2000,nan,nan,5.12,16
꼭지,2000,nan,nan,8.83,30
멋진 친구들,2000,nan,nan,9.33,18
첨밀밀 3 - 소살리토,2001,nan,nan,7.35,34
눈물,2001,nan,nan,7.19,178
사랑은 이런거야,2001,nan,nan,0,0
성냥공장 소녀,2001,nan,nan,7.91,33
파라다이스 빌라,2001,nan,nan,5.52,81
북경 자전거,2001,nan,nan,7.66,83
꽃섬,2001,nan,nan,8.42,60
아나토미,2001,nan,nan,6.62,90
훈의초 : 라벤더,2001,nan,nan,8.77,65
벨파고,2001,nan,nan,4.35,37
번지 점프를 하다,2001,8.45,nan,8.99,2630
가면학원,2001,nan,nan,8.51,35
죄와 벌,2001,nan,nan,5.18,11
나는 네가 지난 13일 금요일 밤에 한 일을 알고 있다,2001,nan,nan,5.32,22
비지터 3 - 저스트 비지팅,2001,nan,nan,8.3,94
피아노,2001,nan,nan,9.51,146
몬스터 주식회사 3D,2001,nan,nan,9.31,1766
발렌타인,2001,nan,nan,5.9,105
라스트 런,2001,nan,nan,10,1
인디안 썸머,2001,nan,nan,8.32,200
트위스트 오브 페이스,2001,nan,nan,2.5,2
리플리컨트,2001,nan,nan,7.41,37
D-13,2001,nan,nan,8.66,137
쥬브나일,2001,nan,nan,8.35,57
쎄크리파이스,2001,nan,nan,7.14,7
레닌그라드 카우보이 미국에 가다,2001,nan,nan,8.48,52
MOB 2025,2001,nan,nan,7.83,6
사보타지 2,2001,nan,nan,10,1
왕의 춤,2001,nan,nan,8.36,69
레인디어 게임,2001,nan,nan,7.22,76
웨어 더 머니 이즈,2001,nan,nan,7.8,5
광시곡,2001,nan,nan,4.56,55
엑소시즘,2001,nan,nan,5.18,22
진저 스냅,2001,nan,nan,6.93,115
생일 선물,2001,nan,nan,7.31,16
퀼스,2001,nan,nan,8.58,255
야드비가의 베개,2001,nan,nan,7.75,4
끝없는 도전,2001,nan,nan,0,0
런딤,2001,nan,nan,7.48,23
마리포사,2001,nan,nan,9.24,123
썸원 라이크 유,2001,nan,nan,7.68,110
기사 윌리엄,2001,nan,nan,8.6,461
상도,2001,nan,nan,9.45,64
일곱가지 유혹,2001,nan,nan,7.97,302
부에나 비스타 소셜 클럽,2001,8.79,8.45,8.78,635
둠스데이어,2001,nan,nan,3.5,2
더 홀,2001,nan,nan,7.07,402
성석전설,2001,nan,nan,8.69,32
TV 동물농장,2001,nan,nan,7.45,101
자객,2001,nan,nan,0,0
너스 베티,2001,nan,nan,7.82,99
7인의 새벽,2001,nan,nan,4.64,33
고추불패,2001,nan,nan,7.4,5
썸머타임,2001,nan,nan,5.34,164
